date,open,high,low,close,adjusted close,volume,dividend amount
31-07-14,41.86,45.71,41.05,43.16,38.2679,731616500,0
30-06-14,40.95,42.29,39.86,41.7,36.9734,555779700,0
30-05-14,40.2401,40.97,38.51,40.94,36.2995,574362900,0.28
30-04-14,41.15,41.66,38.9,40.4,35.5743,746113500,0
31-03-14,37.92,41.5,37.495,40.99,36.0938,778425700,0
28-02-14,37.74,38.46,35.69,38.31,33.7339,705304500,0.28
31-01-14,37.35,37.89,34.63,37.84,33.0726,930226200,0
31-12-13,38.09,38.98,35.53,37.41,32.6968,826617700,0
29-11-13,35.67,38.29,35.39,38.13,33.3261,800431600,0.28
31-10-13,33.35,36.29,32.8,35.405,30.7104,965331500,0
30-09-13,31.75,33.75,30.95,33.28,28.8671,1242961500,0
30-08-13,32.06,35.2,30.84,33.4,28.9712,1051265000,0.23
31-07-13,34.75,36.4299,31.02,31.84,27.4224,1111130600,0
28-06-13,34.92,35.78,32.57,34.545,29.7521,945155500,0
31-05-13,32.93,35.28,32.32,34.9,30.0578,1071860000,0.23
30-04-13,28.64,33.11,28.11,33.1,28.3133,1322883228,0
28-03-13,27.72,28.66,27.52,28.605,24.4684,844946000,0
28-02-13,27.67,28.2,27.1,27.8,23.7798,780587000,0.23
31-01-13,27.25,28.23,26.28,27.45,23.2894,1145054400,0
31-12-12,26.78,27.73,26.26,26.7097,22.6613,947310900,0
30-11-12,28.84,30.2,26.3449,26.615,22.581,1310516100,0.23
31-10-12,29.81,30.25,27.76,28.54,24.0103,1105402300,0
28-09-12,30.45,31.61,29.74,29.76,25.0367,893107700,0
31-08-12,29.59,30.96,28.97,30.82,25.9285,671748400,0.2
31-07-12,30.62,31.05,28.54,29.47,24.6292,846604100,0
29-06-12,28.76,31.14,28.32,30.59,25.5653,973131400,0
31-05-12,32.05,32.335,28.64,29.19,24.3952,1014372600,0.2
30-04-12,32.22,32.89,30.23,32.015,26.5802,940739700,0
30-03-12,31.93,32.95,31.49,32.255,26.7795,942366500,0
29-02-12,29.79,32,29.71,31.74,26.3519,984332300,0.2
31-01-12,26.55,29.95,26.39,29.53,24.356,1354858100,0
30-12-11,25.56,26.19,25.16,25.96,21.4115,1007166600,0
30-11-11,26.19,27.2,24.3,25.58,21.0981,1046207400,0.2
31-10-11,24.72,27.5,24.26,26.63,21.8011,1218142500,0
30-09-11,26.46,27.5,24.6,24.89,20.3766,1279920200,0
31-08-11,27.51,27.685,23.79,26.6,21.7765,1719339500,0.16
29-07-11,25.93,28.145,25.84,27.4,22.2908,1259328200,0
30-06-11,24.99,26,23.65,26,21.1518,1297757600,0
